gamehash,map,start_date,start_time,duration,a_score,b_score,a_bank,a_loadout,b_bank,b_loadout
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,Icebox,02/03/22,21:45,00:28:58,13,5,7631,17225,8542,17683
91581f53-ed56-4177-abdf-04a6e32a8fbe,Icebox,02/18/22,01:18,00:40:30,13,10,6665,17041,7067,18117
463ed901-09d7-41ce-9c55-420091200a32,Split,02/28/22,17:11,00:39:31,13,10,7978,17283,6348,17407
3be504f7-15b5-4780-9e23-cafa0b458865,Bind,02/17/22,12:44,00:34:25,13,5,12439,17728,5642,15444
3b2556dc-4dcf-4ef9-a61b-c93e42d028c2,Ascent,02/18/22,03:31,00:29:33,13,4,12565,18544,5118,15156
29ee9098-9ec9-46cf-932b-2abe87838f70,Bind,02/07/22,22:38,00:28:33,13,5,15167,18378,5472,15775
5e797ef9-06e9-497b-8e10-a7d10283fa16,Split,02/20/22,06:25,00:33:18,13,6,8876,17274,11589,17992
07ec512a-ed8d-43db-99fb-f49fa5e91729,Split,02/18/22,02:32,00:37:37,13,8,5560,16412,8379,18188
2cb625c9-1583-4cd8-ab9a-40ee6dd35100,Bind,02/04/22,14:48,00:27:44,13,4,11185,19265,5215,15150
fd1aee7e-7724-4d58-9edd-ad4ee27aab8a,Haven,02/21/22,16:32,00:37:11,13,11,4917,17608,10813,19000
16365d0c-bfcf-4074-8079-a22e89953867,Icebox,02/24/22,02:12,00:27:40,13,4,8747,19226,5582,15394
ba7bddb9-85c1-4686-811f-6372d6f152c8,Ascent,02/07/22,20:29,00:35:24,13,8,9464,17976,6390,16976
77f12aa6-2dc6-4644-b464-108f763d0902,Breeze,02/21/22,24:31,00:24:36,13,2,16120,20527,3390,15187
1c44d7e4-2e3c-4ecc-b15c-29e9e4da7466,Split,02/07/22,21:10,00:20:25,13,1,17936,20007,5079,14014
ed3fdd51-71e4-4d21-a941-eb73cbfc3077,Fracture,02/11/22,18:00,00:40:34,13,10,12770,17133,10763,17252
a86491c6-e851-4af2-99d1-8771c79580f7,Fracture,02/13/22,16:51,00:32:30,13,8,14883,18783,6124,16464
9864e641-c77c-490b-b4e7-323ff67ebef6,Bind,02/18/22,12:34,00:38:46,13,7,8553,19020,7485,17588
ccc95888-6f87-4010-a3a9-b57a6d6d4af1,Bind,02/21/22,15:59,00:20:32,13,1,4571,13400,16671,18946
4537ed6e-7ffb-4f98-9d59-60a825258f68,Fracture,02/21/22,15:13,00:41:51,13,10,8346,19178,10048,18498
9cbd0015-d80c-49dd-9700-bf1997497999,Fracture,02/18/22,04:14,00:33:02,13,6,8108,18242,5003,15908
6cda7a3e-028e-4790-9ea4-c70f2e3cf0fb,Haven,02/24/22,01:26,00:41:18,13,10,8220,18463,6935,17091
89a3f50d-3812-437b-af1c-b193eaba2170,Split,02/17/22,03:30,00:40:05,13,10,6135,17987,7404,17198
d05b4dbc-799a-4a24-b449-f95be2cb9473,Bind,12/18/21,13:16,00:42:29,15,13,5061,18709,12350,20059
93f3fba3-19fb-4fba-bb57-45af2b7c1653,Split,12/24/21,15:38,00:35:35,13,9,7923,18005,6989,18075
fe93e85a-de7c-4b0a-af49-4ab3a193107f,Ascent,02/20/22,05:41,00:40:26,13,10,10067,17296,10763,17120
4f13c6fc-f6d3-42ac-b804-296331fc82fe,Bind,02/24/22,12:38,00:43:24,14,12,11652,19512,5742,17973
fede1563-858f-4760-bbd2-ff4fd244d165,Split,02/08/22,14:50,00:30:20,13,5,6864,16328,10981,17758
caf2b254-b76a-4ddc-a48a-e5b3a7faeeed,Bind,02/21/22,11:56,00:28:45,13,3,5866,15484,7991,19447
a6b21338-fd2a-42d2-ade8-78e7c430d26b,Fracture,02/17/22,03:06,00:20:03,13,3,12997,15063,4578,12447
927ff8a1-8b8e-4592-bdda-10e95b9e2ad9,Breeze,02/02/22,02:26,00:29:53,13,4,11341,19676,5268,15726
62ab5c38-4954-4e78-a68c-42adef5900e8,Ascent,02/17/22,01:36,00:29:08,13,5,5333,15069,10164,19506
77b89a9a-fad6-416d-94d1-050722e49301,Ascent,01/16/22,12:00,00:31:45,13,6,12158,19145,3447,14624
0a13630a-6e89-4913-acb6-7461d830b1e5,Breeze,03/01/22,11:43,00:22:15,13,3,20322,19153,3244,14681
377fc78f-c1b4-43fc-aa91-9616414c80b3,Icebox,02/24/22,02:56,00:23:15,13,4,4474,15738,13809,19644
bd0fe8a7-c590-4836-9f59-2fbad425a88c,Ascent,02/03/22,21:09,00:33:07,13,4,9706,17576,5476,15426
74a79412-faa1-4774-9665-90f0041d9be0,Bind,02/18/22,15:57,00:35:56,13,9,11625,19641,8018,18134
e3772052-7018-4401-aaaa-0d5b6b302617,Icebox,03/02/22,15:00,00:40:49,13,11,7852,18877,9248,17908
7cddf7ec-1520-467f-9a65-54ff32723f15,Breeze,02/28/22,13:35,00:25:30,13,2,4143,14730,14510,18067
154142f7-b725-4e95-9763-cf62e5338e70,Split,02/21/22,10:18,00:37:32,13,8,13933,18169,9545,17707
61b56a2e-4dce-4bdb-9eba-a66138c5a4ab,Ascent,02/20/22,03:16,00:43:31,13,8,11114,18226,5136,17345
b9669dba-c2ca-4bed-82ab-6976e7536c8b,Split,02/07/22,21:34,00:46:05,14,12,6171,18696,11821,20785
ef4ab811-fad2-4ae0-b2d9-9830908b15e9,Breeze,12/18/21,14:03,00:41:26,13,11,11802,18700,9019,18165
